,DebugRVA,DebugSize,Dll,ExportRVA,ExportSize,IATRVA,ImageVersion,LinkerVersion,NumberOfSections,OSVersion,ResSize,StackReserveSize,filename,clean
sample148,4288,28,320,10432,314,4096,6,9,4,6,1048,262144,samples/cleanfiles/wshnetbs.dll,1
sample1480,4432,28,33088,0,0,4096,6,9,4,6,2064,262144,samples/cleanfiles/VaultCmd.exe,1
sample1481,1364860,56,320,1361432,190,4096,6,9,6,6,1080,262144,samples/cleanfiles/WMVENCOD.DLL,1
sample1482,4928,28,33088,0,0,4096,6,9,4,6,4912,262144,samples/cleanfiles/bcdboot.exe,1
sample1483,7440,28,1344,7344,81,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDBENE.DLL,1
sample1484,4624,28,320,100592,80,4096,6,9,4,6,1080,262144,samples/cleanfiles/IcCoinstall.dll,1
sample1485,4448,28,33088,0,0,4096,6,9,4,6,1768,262144,samples/cleanfiles/ucsvc.exe,1
sample1486,4656,28,320,211136,106,4096,6,9,4,6,56912,262144,samples/cleanfiles/WWanAPI.dll,1
sample1487,4560,28,33088,0,0,4096,6,9,4,6,2120,262144,samples/cleanfiles/PnPutil.exe,1
sample1488,4720,28,320,52032,211,4096,6,9,4,6,25400,262144,samples/cleanfiles/wzcdlg.dll,1
sample1489,6928,28,1344,6832,82,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDINORI.DLL,1
sample149,5120,28,33088,0,0,4096,6,9,4,6,2136,262144,samples/cleanfiles/repair-bde.exe,1
sample1490,239288,56,33088,0,0,4096,6,9,4,6,6376,262144,samples/cleanfiles/lsm.exe,1
sample1491,168712,56,320,13252,13319,4096,6,9,4,6,1840,262144,samples/cleanfiles/dmdskmgr.dll,1
sample1492,4448,28,32832,0,0,4096,6,9,4,6,2384,262144,samples/cleanfiles/regsvr32.exe,1
sample1493,4336,28,320,14768,144,4096,6,9,4,6,2264,262144,samples/cleanfiles/perfnet.dll,1
sample1494,4816,28,320,65088,1102,4096,6,9,5,6,1856,262144,samples/cleanfiles/odbccu32.dll,1
sample1495,5104,28,320,143776,165,4096,6,9,4,6,1512,262144,samples/cleanfiles/tscfgwmi.dll,1
sample1496,4512,28,320,82176,862,4096,6,9,4,6,1280,262144,samples/cleanfiles/secproc_ssp_isv.dll,1
sample1497,4656,56,320,1538336,50052,1614644,10,11,5,6,1008,1048576,samples/cleanfiles/msvcr110d.dll,1
sample1498,129672,56,320,26920,116,4096,6,9,4,6,1312,262144,samples/cleanfiles/cryptsvc.dll,1
sample15,4368,28,33088,0,0,4096,6,9,4,6,2088,262144,samples/cleanfiles/cmdkey.exe,1
sample150,6880,28,1344,6784,81,0,6,9,3,6,1048,262144,samples/cleanfiles/KBDPASH.DLL,1
sample1500,4512,28,1344,46000,5444,4096,6,9,5,6,22680,262144,samples/cleanfiles/mapi32.dll,1
sample1501,4816,28,320,102208,180,4096,6,9,4,6,29312,262144,samples/cleanfiles/PortableDeviceWiaCompat.dll,1
sample1502,6112,28,320,148624,106,4096,6,9,4,6,880456,262144,samples/cleanfiles/Display.dll,1
sample1503,4960,28,33088,0,0,4096,6,9,4,6,87128,262144,samples/cleanfiles/wusa.exe,1
sample1504,514184,56,320,504332,198,4096,6,9,5,6,1824,262144,samples/cleanfiles/comuid.dll,1
sample1505,4672,28,320,45584,117,4096,6,9,4,6,25304,262144,samples/cleanfiles/mmci.dll,1
sample1506,51692,56,320,4264,539,4096,6,9,4,6,1016,262144,samples/cleanfiles/cryptdll.dll,1
sample1507,540152,56,320,12572,2197,4096,6,9,4,6,265440,262144,samples/cleanfiles/msctf.dll,1
sample1508,4608,28,33088,0,0,4096,6,9,4,6,2000,262144,samples/cleanfiles/winrs.exe,1
sample1509,0,0,1344,0,0,0,6,9,1,6,34144,262144,samples/cleanfiles/FXSCOMPOSERES.dll,1
sample151,4208,28,320,7632,73,4096,6,9,4,6,1024,262144,samples/cleanfiles/odfox32.dll,1
sample1510,4384,28,320,18560,122,4096,6,9,4,6,1296,262144,samples/cleanfiles/pnrpauto.dll,1
sample1511,140916,56,320,4724,5273,4096,6,9,4,6,1008,262144,samples/cleanfiles/winsta.dll,1
sample1512,5776,28,320,356608,164,4096,6,9,4,6,792144,262144,samples/cleanfiles/DiagCpl.dll,1
sample1513,48020,56,320,40660,4719,4096,6,9,4,6,1048,262144,samples/cleanfiles/wsnmp32.dll,1
sample1514,4272,28,320,11280,378,4096,6,9,4,6,992,262144,samples/cleanfiles/txfw32.dll,1
sample1515,37152,28,448,98096,78,36864,500,10,5,4,976,1048576,samples/cleanfiles/VBoxOGLerrorspu.dll,1
sample1516,24404,56,320,16340,85,4096,6,9,4,6,1000,262144,samples/cleanfiles/sxssrv.dll,1
sample1517,439272,56,320,10480,919,4096,6,9,4,6,460008,262144,samples/cleanfiles/printui.dll,1
sample1518,6688,28,1344,6608,80,0,6,9,3,6,1040,262144,samples/cleanfiles/KBDRU1.DLL,1
sample1519,6832,28,1344,6736,82,0,6,9,3,6,1048,262144,samples/cleanfiles/KBDINBE2.DLL,1
sample152,479376,56,320,13616,4859,4096,6,9,4,6,25912,262144,samples/cleanfiles/comctl32.dll,1
sample1520,453308,56,320,151096,109,4096,6,9,4,6,66080,262144,samples/cleanfiles/MPSSVC.dll,1
sample1521,4304,28,320,15232,165,4096,6,9,5,6,1072,262144,samples/cleanfiles/bitsprx5.dll,1
sample1522,4128,28,320,132528,1137,147960,6,10,5,6,1024,262144,samples/cleanfiles/d3d10_1.dll,1
sample1523,6800,28,1344,6720,80,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDYAK.DLL,1
sample1524,5072,28,320,271888,136,4096,6,9,4,6,165328,262144,samples/cleanfiles/scrptadm.dll,1
sample1525,76816,56,320,4868,167,4096,6,9,4,6,3336,262144,samples/cleanfiles/thumbcache.dll,1
sample1526,159400,56,320,13312,759,4096,6,9,5,6,30344,262144,samples/cleanfiles/sti.dll,1
sample1527,55740,56,320,53112,165,4096,6,9,5,6,7096,262144,samples/cleanfiles/stclient.dll,1
sample1528,8384,28,320,12944,167,8192,6,9,5,6,1032,262144,samples/cleanfiles/fdBthProxy.dll,1
sample1529,4832,28,320,49904,704,4096,1,9,4,6,24448,262144,samples/cleanfiles/iassvcs.dll,1
sample153,5984,28,33088,0,0,4096,6,9,4,6,647256,262144,samples/cleanfiles/msdt.exe,1
sample1530,4752,28,320,99856,172,4096,6,9,4,6,1712,262144,samples/cleanfiles/WPDShServiceObj.dll,1
sample1531,4096,28,1344,4192,2830,0,6,10,3,6,1016,262144,samples/cleanfiles/api-ms-win-downlevel-shlwapi-l2-1-0.dll,1
sample1532,4384,28,33088,0,0,4096,6,9,4,6,2032,262144,samples/cleanfiles/mountvol.exe,1
sample1533,4496,28,320,191024,2535,4096,6,9,4,6,1016,262144,samples/cleanfiles/unattend.dll,1
sample1534,110784,28,0,0,0,110592,6,9,6,6,1120,262144,samples/cleanfiles/RDPENCDD.dll,1
sample1535,4960,28,320,69168,101,4096,6,9,4,6,13744,262144,samples/cleanfiles/mciavi32.dll,1
sample1537,4544,28,33088,0,0,4096,6,9,4,6,1744,262144,samples/cleanfiles/winrshost.exe,1
sample1538,4176,28,320,562544,731,589824,6,11,8,6,8432,262144,samples/cleanfiles/jsIntl.dll,1
sample1539,70176,56,320,4568,245,4096,6,9,4,6,6936,262144,samples/cleanfiles/DHCPQEC.DLL,1
sample154,5152,28,320,428320,77,4096,6,9,4,6,3800,262144,samples/cleanfiles/nettrace.dll,1
sample1540,9248,28,320,73136,207,8192,6,9,5,6,531800,262144,samples/cleanfiles/colorui.dll,1
sample1541,4544,28,33088,0,0,4096,6,9,4,6,1744,262144,samples/cleanfiles/regini.exe,1
sample1542,136908,56,33088,0,0,4096,6,9,4,6,252384,262144,samples/cleanfiles/SnippingTool.exe,1
sample1543,4336,28,320,102320,164,4096,6,9,4,6,1088,262144,samples/cleanfiles/dmstyle.dll,1
sample1544,4608,28,320,41136,161,4096,6,9,4,6,2688,262144,samples/cleanfiles/RPCNDFP.dll,1
sample1545,1424968,56,320,7668,6544,4096,6,9,4,6,42504,262144,samples/cleanfiles/tquery.dll,1
sample1546,4736,28,320,38608,169,4096,6,9,4,6,9936,262144,samples/cleanfiles/adprovider.dll,1
sample1547,6848,28,1344,6752,82,0,6,9,3,6,1048,262144,samples/cleanfiles/KBDINASA.DLL,1
sample1548,4448,28,33088,0,0,4096,6,9,4,6,2400,262144,samples/cleanfiles/rasautou.exe,1
sample1549,105704,56,320,4500,893,4096,6,9,5,6,1056,262144,samples/cleanfiles/dbnetlib.dll,1
sample155,4992,28,320,108656,117,4096,6,9,4,6,1288,262144,samples/cleanfiles/sppnp.dll,1
sample1550,8176,28,16704,586608,220,593920,6,11,5,6,1376,262144,samples/cleanfiles/jscript9diag.dll,1
sample1551,4096,28,1344,4320,1541,0,6,9,3,6,1008,262144,samples/cleanfiles/api-ms-win-core-threadpool-l1-1-0.dll,1
sample1552,4768,28,320,502032,1625,4096,6,9,4,6,2056,262144,samples/cleanfiles/vdsdyn.dll,1
sample1553,4320,28,320,22976,73,4096,6,9,4,6,1400,262144,samples/cleanfiles/msgsm32.acm,1
sample1554,4416,28,320,24096,228,4096,6,9,4,6,1360,262144,samples/cleanfiles/AzSqlExt.dll,1
sample1555,4512,28,320,60368,117,4096,6,9,4,6,1008,262144,samples/cleanfiles/spbcd.dll,1
sample1556,4768,28,320,85760,165,4096,6,9,5,6,2328,262144,samples/cleanfiles/QSVRMGMT.DLL,1
sample1558,5072,28,320,165936,104,4096,6,9,4,6,1288,262144,samples/cleanfiles/wlancfg.dll,1
sample1559,6736,28,1344,6640,81,0,6,9,3,6,1040,262144,samples/cleanfiles/KBDDIV1.DLL,1
sample156,4576,28,320,44576,162,4096,6,9,4,6,3040,262144,samples/cleanfiles/ucmhc.dll,1
sample1560,0,0,1344,0,0,0,6,9,1,6,20267224,262144,samples/cleanfiles/imageres.dll,1
sample1561,4496,28,320,54352,181,4096,6,9,4,6,5088,262144,samples/cleanfiles/PortableDeviceConnectApi.dll,1
sample1562,6912,28,1344,6816,82,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDINKAN.DLL,1
sample1563,97772,56,320,15960,164,4096,6,9,4,6,63072,262144,samples/cleanfiles/fundisc.dll,1
sample1564,4160,28,1344,0,0,4096,6,9,4,6,2040,262144,samples/cleanfiles/csrss.exe,1
sample1565,42888,56,448,6728,135,4096,6,9,4,6,1032,262144,samples/cleanfiles/RpcRtRemote.dll,1
sample1566,5040,28,320,227232,171,4096,6,9,5,6,8928,262144,samples/cleanfiles/DShowRdpFilter.dll,1
sample1567,9672,56,320,8952,542,16384,6,11,5,6,222800,262144,samples/cleanfiles/url.dll,1
sample1568,4928,28,320,105408,104,4096,6,9,4,6,33128,262144,samples/cleanfiles/twext.dll,1
sample1569,4272,28,320,12832,319,4096,6,9,4,6,992,262144,samples/cleanfiles/wiatrace.dll,1
sample157,6976,28,1344,6896,80,0,6,9,3,6,1040,262144,samples/cleanfiles/KBDYCC.DLL,1
sample1570,6896,28,1344,6816,79,0,6,9,3,6,1008,262144,samples/cleanfiles/KBDIR.DLL,1
sample1571,4720,28,320,40544,168,4096,6,9,4,6,9944,262144,samples/cleanfiles/cngprovider.dll,1
sample1572,4384,28,320,112000,177,4096,6,9,4,6,1080,262144,samples/cleanfiles/WinSyncProviders.dll,1
sample1573,6144,28,320,841216,166,4096,6,9,4,6,29952,262144,samples/cleanfiles/rdpcorets.dll,1
sample1574,11776,56,320,331348,177,12288,21315,9,5,6,1272,262144,samples/cleanfiles/sppwinob.dll,1
sample1575,4416,28,33088,0,0,4096,6,9,4,6,2624,262144,samples/cleanfiles/pcwrun.exe,1
sample1576,4768,28,33088,0,0,4096,6,9,4,6,138328,262144,samples/cleanfiles/bcdedit.exe,1
sample1577,26444,56,1344,4520,345,4096,6,9,4,6,1000,262144,samples/cleanfiles/lpk.dll,1
sample1578,4512,28,320,27888,1862,4096,6,9,4,6,1048,262144,samples/cleanfiles/tcpmib.dll,1
sample1579,4272,28,33088,0,0,4096,6,9,4,6,75592,262144,samples/cleanfiles/SystemPropertiesPerformance.exe,1
sample158,4480,28,33088,0,0,4096,6,9,4,6,52648,262144,samples/cleanfiles/DevicePairingWizard.exe,1
sample1580,7936,28,1344,7856,79,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDRO.DLL,1
sample1581,5456,28,320,92336,164,4096,6,9,4,6,2028328,262144,samples/cleanfiles/networkmap.dll,1
sample1582,675876,56,320,23092,205292,4096,6,9,4,6,8088,262144,samples/cleanfiles/dui70.dll,1
sample1583,0,0,0,752400,285,828164,0,4,7,4,13348,1048576,samples/cleanfiles/ir41_32.ax,1
sample1584,6800,28,1344,6704,81,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDBULG.DLL,1
sample1585,4432,28,320,48272,109,4096,6,9,4,6,1704,262144,samples/cleanfiles/rdpd3d.dll,1
sample1586,4320,28,33088,0,0,4096,6,9,4,6,2024,262144,samples/cleanfiles/help.exe,1
sample1588,24548,56,33088,0,0,4096,6,9,4,6,2056,262144,samples/cleanfiles/findstr.exe,1
sample1589,4528,28,33088,0,0,4096,6,9,4,6,2016,262144,samples/cleanfiles/cacls.exe,1
sample159,6144,28,33088,0,0,4096,6,9,4,6,607480,262144,samples/cleanfiles/mstsc.exe,1
sample1590,0,0,1344,0,0,0,8,8,1,5,1396,1048576,samples/cleanfiles/icardres.dll,1
sample1591,238520,56,320,5004,522,4096,6,9,5,6,31792,262144,samples/cleanfiles/hnetcfg.dll,1
sample1592,4688,28,320,105504,240,4096,6,9,4,6,1008,262144,samples/cleanfiles/shsetup.dll,1
sample1594,4688,28,33088,0,0,4096,6,9,4,6,3496,262144,samples/cleanfiles/cmstp.exe,1
sample1595,4480,28,320,25728,165,4096,6,9,4,6,10024,262144,samples/cleanfiles/wincredprovider.dll,1
sample1596,0,0,1344,0,0,0,6,9,1,6,1451624,262144,samples/cleanfiles/NlsLexicons0003.dll,1
sample1597,5216,28,320,678064,289,4096,6,9,4,6,1400,262144,samples/cleanfiles/mcmde.dll,1
sample1598,4224,28,320,7376,51,4096,6,9,4,6,1000,262144,samples/cleanfiles/dnsext.dll,1
sample1599,4496,28,320,23696,110,4096,6,9,4,6,2104,262144,samples/cleanfiles/hcproviders.dll,1
sample16,4416,28,320,21376,118,4096,6,9,4,6,1032,262144,samples/cleanfiles/TRAPI.dll,1
sample1600,4768,28,320,611744,724,4096,6,9,4,6,56576,262144,samples/cleanfiles/IMJP10K.DLL,1
sample1601,607604,56,320,207248,18102,4096,6,9,5,6,15440,262144,samples/cleanfiles/rpcrt4.dll,1
sample1602,4448,28,33088,0,0,4096,6,9,4,6,2080,262144,samples/cleanfiles/dnscacheugc.exe,1
sample1603,4400,28,320,19472,183,4096,6,9,4,6,1080,262144,samples/cleanfiles/WcnEapPeerProxy.dll,1
sample1604,4592,28,33088,0,0,4096,6,9,4,6,4312,262144,samples/cleanfiles/ocsetup.exe,1
sample1605,6736,28,1344,6656,79,0,6,9,3,6,1016,262144,samples/cleanfiles/KBDFA.DLL,1
sample1606,14076,56,320,12504,189,4096,6,9,5,6,928,262144,samples/cleanfiles/dispex.dll,1
sample1607,4928,56,16704,62720,195,69632,6,11,6,6,6600,262144,samples/cleanfiles/mshtmled.dll,1
sample1608,5136,28,33088,0,0,4096,6,9,4,6,2008,262144,samples/cleanfiles/drvinst.exe,1
sample161,518764,56,320,4728,694,4096,6,9,4,6,1304,262144,samples/cleanfiles/tdh.dll,1
sample1610,4960,28,320,181952,431,4096,6,9,4,6,20840,262144,samples/cleanfiles/qwave.dll,1
sample1611,5120,28,320,430112,1759,4096,6,9,4,6,5664,262144,samples/cleanfiles/wiaservc.dll,1
sample1612,329404,56,320,6704,61086,4096,6,9,4,6,992,262144,samples/cleanfiles/wbemcomn.dll,1
sample1613,82124,56,320,78144,1086,4096,6,9,4,6,1304,262144,samples/cleanfiles/hlink.dll,1
sample1614,4928,28,33088,0,0,4096,6,9,4,6,2072,262144,samples/cleanfiles/tasklist.exe,1
sample1615,5056,28,320,302032,233,426392,6,10,5,6,1104,262144,samples/cleanfiles/vfprintpthelper.dll,1
sample1616,0,0,1344,0,0,0,6,9,1,6,5499360,262144,samples/cleanfiles/NlsLexicons0022.dll,1
sample1617,5120,56,320,6285632,67124,6425996,10,11,5,6,1414776,1048576,samples/cleanfiles/mfc110d.dll,1
sample1618,114276,56,320,6328,1632,4096,6,9,4,6,1304,262144,samples/cleanfiles/ntmarta.dll,1
sample1619,5184,28,33088,0,0,4096,6,9,4,6,106728,262144,samples/cleanfiles/rstrui.exe,1
sample162,982824,28,34112,0,0,8192,0,8,3,4,88172,1048576,samples/cleanfiles/Narrator.exe,1
sample1620,80628,56,320,41188,187,4096,6,9,5,6,1056,262144,samples/cleanfiles/mfps.dll,1
sample1621,0,0,1024,0,0,0,8,8,2,5,148432,1048576,samples/cleanfiles/mscorier.dll,1
sample1622,4512,28,320,19888,107,4096,6,9,4,6,1064,262144,samples/cleanfiles/UXInit.dll,1
sample1623,4464,28,33088,0,0,4096,6,9,4,6,2072,262144,samples/cleanfiles/ROUTE.EXE,1
sample1624,4128,28,320,328736,182,340468,6,10,5,6,76136,262144,samples/cleanfiles/WMPhoto.dll,1
sample1625,4496,28,320,34688,199,4096,6,9,4,6,4600,262144,samples/cleanfiles/dfdts.dll,1
sample1626,4832,28,33088,0,0,4096,6,9,4,6,29776,262144,samples/cleanfiles/dxdiag.exe,1
sample1627,4640,28,320,46832,167,4096,6,9,4,6,86336,262144,samples/cleanfiles/scavengeui.dll,1
sample1628,4528,28,320,85632,832,4096,6,9,4,6,1312,262144,samples/cleanfiles/dot3api.dll,1
sample1629,7168,28,320,664384,185,4096,6,9,4,6,837072,262144,samples/cleanfiles/certmgr.dll,1
sample163,4704,28,320,1017088,548,4096,6,9,4,6,952,262144,samples/cleanfiles/ogldrv.dll,1
sample1630,0,0,1344,0,0,0,6,9,1,6,1312,262144,samples/cleanfiles/msprivs.dll,1
sample1631,5280,28,320,689344,223,4096,6,9,4,6,1416,262144,samples/cleanfiles/wmpmde.dll,1
sample1632,4560,28,320,110496,1745,4096,10,10,4,5,8856,1048576,samples/cleanfiles/atl100.dll,1
sample1633,146228,56,320,138884,109,4096,6,9,4,6,1280,262144,samples/cleanfiles/pcasvc.dll,1
sample1634,6768,28,1344,6672,81,0,6,9,3,6,1016,262144,samples/cleanfiles/KBDURDU.DLL,1
sample1635,0,0,1344,0,0,0,6,9,1,6,1048,262144,samples/cleanfiles/mscpx32r.dLL,1
sample1636,0,0,1344,0,0,0,6,9,1,6,1368,262144,samples/cleanfiles/blbres.dll,1
sample1637,5488,28,320,242896,1141,4096,6,9,4,6,39608,262144,samples/cleanfiles/ipnathlp.dll,1
sample1638,4224,56,320,166416,2096,197108,10,11,6,6,1000,1048576,samples/cleanfiles/VSPerf110.dll,1
sample1639,5024,28,33088,118320,115,4096,6,9,4,6,2016,262144,samples/cleanfiles/mtstocom.exe,1
sample164,18876,56,320,5020,827,4096,6,9,4,6,1512,262144,samples/cleanfiles/dmutil.dll,1
sample1640,4688,28,33088,0,0,4096,6,9,4,6,1880,262144,samples/cleanfiles/DeviceDisplayObjectProvider.exe,1
sample1641,4304,28,33088,0,0,4096,6,9,4,6,2080,262144,samples/cleanfiles/HOSTNAME.EXE,1
sample1642,4128,28,320,352368,101,369064,6,10,5,6,1704,262144,samples/cleanfiles/d3dref9.dll,1
sample1643,4672,28,320,45840,846,4096,6,9,4,6,5264,262144,samples/cleanfiles/cryptext.dll,1
sample1644,0,0,1344,0,0,0,6,9,1,6,6664,262144,samples/cleanfiles/spwizres.dll,1
sample1645,4528,28,320,1792048,79,4096,6,9,4,6,1088,262144,samples/cleanfiles/NlsData0022.dll,1
sample1646,4592,28,33088,0,0,4096,6,9,4,6,2024,262144,samples/cleanfiles/fc.exe,1
sample1647,5488,28,320,456464,1391,4096,6,9,4,6,1000,262144,samples/cleanfiles/msidcrl30.dll,1
sample1648,0,0,1344,0,0,0,6,9,1,6,1008,262144,samples/cleanfiles/winrsmgr.dll,1
sample1649,119336,56,320,4792,2428,4096,6,9,4,6,2440,262144,samples/cleanfiles/logoncli.dll,1
sample165,96272,56,320,5148,901,4096,6,9,4,6,109008,262144,samples/cleanfiles/mstask.dll,1
sample1650,4816,28,320,147664,107,4096,6,9,4,6,27312,262144,samples/cleanfiles/sdiageng.dll,1
sample1651,251604,56,320,72124,111,4096,6,9,4,6,27856,262144,samples/cleanfiles/umpnpmgr.dll,1
sample1652,181336,56,320,168028,7766,4096,6,9,4,6,2128,262144,samples/cleanfiles/tapi32.dll,1
sample1653,4096,28,1344,4128,110,0,6,9,2,6,1032,262144,samples/cleanfiles/dpnlobby.dll,1
sample1654,4256,28,320,9184,303,4096,6,9,4,6,1016,262144,samples/cleanfiles/ifsutilx.dll,1
sample1655,4528,28,320,27248,164,4096,6,9,4,6,4864,262144,samples/cleanfiles/wmdmlog.dll,1
sample1656,4640,28,33088,0,0,4096,6,9,4,6,3240,262144,samples/cleanfiles/SyncHost.exe,1
sample1657,10712,56,320,9516,593,4096,6,9,4,6,1032,262144,samples/cleanfiles/browseui.dll,1
sample1658,4688,28,320,89424,188,4096,6,9,4,6,1504,262144,samples/cleanfiles/TapiMigPlugin.dll,1
sample1659,57588,56,320,9776,2993,4096,6,9,4,6,121000,262144,samples/cleanfiles/shdocvw.dll,1
sample166,4544,28,320,45760,109,4096,6,9,4,6,9880,262144,samples/cleanfiles/vfwwdm32.dll,1
sample1660,761772,56,320,4348,5319,4096,9,8,4,5,1668,1048576,samples/cleanfiles/PresentationNative_v0300.dll,1
sample1661,170940,56,320,168800,166,4096,6,9,6,6,1056,262144,samples/cleanfiles/WMALFXGFXDSP.dll,1
sample1662,4864,28,320,204016,82,4096,6,9,4,6,4056,262144,samples/cleanfiles/zgmprxy.dll,1
sample1663,4528,28,320,3093680,79,4096,6,9,4,6,1088,262144,samples/cleanfiles/NlsData004a.dll,1
sample1664,4544,28,320,0,0,4096,6,9,4,6,229200,262144,samples/cleanfiles/autofmt.exe,1
sample1665,484304,56,16704,8976,138,495616,6,11,6,6,171800,262144,samples/cleanfiles/msfeeds.dll,1
sample1666,9132,56,33088,0,0,4096,6,9,4,6,2272,262144,samples/cleanfiles/verclsid.exe,1
sample1667,4480,28,33088,0,0,4096,6,9,4,6,1328,262144,samples/cleanfiles/WerFaultSecure.exe,1
sample1668,6976,28,1344,6880,82,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDINMAR.DLL,1
sample1669,470628,56,320,84412,26720,4096,6,9,4,6,143680,262144,samples/cleanfiles/advapi32.dll,1
sample167,7744,28,1344,7664,80,0,6,9,3,6,1048,262144,samples/cleanfiles/KBDUKX.DLL,1
sample1670,316620,56,320,313424,164,4096,6,9,4,6,14816,262144,samples/cleanfiles/termmgr.dll,1
sample1671,8416,28,320,28000,183,8192,6,9,5,6,1056,262144,samples/cleanfiles/wups.dll,1
sample1672,5248,28,320,56480,385,4096,6,9,4,6,7472,262144,samples/cleanfiles/loghours.dll,1
sample1673,5552,28,320,297504,163,4096,6,9,4,6,216176,262144,samples/cleanfiles/objsel.dll,1
sample1674,0,0,0,116720,162,98304,0,5,5,4,16256,1048576,samples/cleanfiles/ivfsrc.ax,1
sample1675,4864,28,320,41872,327,4096,6,9,4,6,113384,262144,samples/cleanfiles/keymgr.dll,1
sample1676,62188,56,320,56952,253,4096,6,9,4,6,22168,262144,samples/cleanfiles/pcaui.dll,1
sample1677,155536,56,320,15096,108,4096,6,9,4,6,5000,262144,samples/cleanfiles/umrdp.dll,1
sample1678,4272,28,33088,0,0,4096,6,9,4,6,2232,262144,samples/cleanfiles/systray.exe,1
sample1679,4272,28,16704,40960,82,69632,6,11,5,6,992,262144,samples/cleanfiles/MshtmlDac.dll,1
sample168,7584,56,320,6728,218,4096,6,9,4,6,976,262144,samples/cleanfiles/mtxex.dll,1
sample1680,151596,56,320,14612,269,4096,6,9,4,6,7112,262144,samples/cleanfiles/msutb.dll,1
sample1681,4592,28,33088,0,0,4096,6,9,4,6,1696,262144,samples/cleanfiles/wuapp.exe,1
sample1682,46088,56,320,4664,165,4096,6,9,4,6,5744,262144,samples/cleanfiles/TabbtnEx.dll,1
sample1683,4224,28,320,8688,360,4096,6,9,4,6,1440,262144,samples/cleanfiles/rdpcfgex.dll,1
sample1684,0,0,1344,0,0,0,10,11,1,6,37352,1048576,samples/cleanfiles/mfc110jpn.dll,1
sample1685,85080,56,320,78544,1242,4096,6,9,4,6,4208,262144,samples/cleanfiles/msvfw32.dll,1
sample1686,7024,28,1344,6928,82,0,6,9,3,6,1040,262144,samples/cleanfiles/KBDHE319.DLL,1
sample1687,7712,28,1344,7632,80,0,6,9,3,6,1040,262144,samples/cleanfiles/KBDCZ2.DLL,1
sample1688,4528,28,320,3093696,79,4096,6,9,4,6,1088,262144,samples/cleanfiles/NlsData0047.dll,1
sample1689,4704,28,320,55344,166,4096,6,9,4,6,161968,262144,samples/cleanfiles/SNTSearch.dll,1
sample169,6896,28,1344,6800,81,0,6,9,3,6,1040,262144,samples/cleanfiles/KBDSYR2.DLL,1
sample1690,180332,56,320,176160,110,4096,6,9,4,6,1040,262144,samples/cleanfiles/lltdsvc.dll,1
sample1691,84484,56,320,78232,691,4096,6,9,4,6,15536,262144,samples/cleanfiles/oledlg.dll,1
sample1692,4128,28,320,488752,2133,533052,6,10,5,6,78936,262144,samples/cleanfiles/d3d10level9.dll,1
sample1693,4320,28,320,23984,828,4096,6,9,4,6,1008,262144,samples/cleanfiles/vpnikeapi.dll,1
sample1694,0,0,1344,0,0,0,6,9,1,6,2627792,262144,samples/cleanfiles/NlsLexicons0009.dll,1
sample1695,4368,28,33088,0,0,4096,6,9,4,6,2072,262144,samples/cleanfiles/MRINFO.EXE,1
sample1697,4208,28,320,7136,2086,4096,6,9,4,6,1344,262144,samples/cleanfiles/odbcji32.dll,1
sample1698,4192,28,1024,16384,251,4096,6,9,6,6,1008,262144,samples/cleanfiles/kd1394.dll,1
sample1699,49468,56,320,10520,762,4096,6,9,4,6,1032,262144,samples/cleanfiles/nlaapi.dll,1
sample17,0,0,1344,0,0,0,6,9,1,6,37416,262144,samples/cleanfiles/vmstorfltres.dll,1
sample170,4848,28,320,78944,106,4096,6,9,4,6,18360,262144,samples/cleanfiles/xwtpw32.dll,1
sample1700,4560,28,0,112704,9852,4156,4,2,4,4,932,1048576,samples/cleanfiles/crtdll.dll,1
sample1701,4496,28,320,22784,163,4096,6,9,4,6,2200,262144,samples/cleanfiles/fdWNet.dll,1
sample1702,4624,28,320,64896,1689,4096,6,9,4,6,992,262144,samples/cleanfiles/uexfat.dll,1
sample1703,4336,28,33088,0,0,4096,6,9,4,6,20560,262144,samples/cleanfiles/cliconfg.exe,1
sample1704,7664,28,1344,7568,82,0,6,9,3,6,1064,262144,samples/cleanfiles/KBDSORST.DLL,1
sample1705,5480,56,1344,4168,169,4096,6,9,4,6,984,262144,samples/cleanfiles/msimg32.dll,1
sample1706,4640,28,33088,0,0,4096,6,9,4,6,28400,262144,samples/cleanfiles/MultiDigiMon.exe,1
sample1707,4352,28,33088,0,0,4096,6,9,4,6,50040,262144,samples/cleanfiles/AxInstUI.exe,1
sample1708,4528,28,320,55824,125,4096,6,9,4,6,18672,262144,samples/cleanfiles/UserAccountControlSettings.dll,1
sample1709,4912,28,320,83024,601,4096,8,8,4,5,3800,1048576,samples/cleanfiles/infocardapi.dll,1
sample171,4608,28,320,42000,204,4096,6,9,4,6,101480,262144,samples/cleanfiles/McxDriv.dll,1
sample1710,0,0,1344,0,0,0,6,9,1,6,1984,262144,samples/cleanfiles/uxlibres.dll,1
