,Unnamed: 0,DebugRVA,DebugSize,Dll,ExportRVA,ExportSize,IATRVA,ImageVersion,LinkerVersion,NumberOfSections,OSVersion,ResSize,StackReserveSize,filename,clean
329,sample65,0,0,0,0,0,20480,0,5,4,4,0,1048576,samples/zippedMalware/a5e2eba8b35335df65a9ea2f56c56fbe,0
330,sample66,0,0,0,0,0,0,0,5,3,4,0,1048576,samples/zippedMalware/c4dba0f33f298a79402aefdb58735842,0
331,sample67,0,0,0,0,0,0,4,7,3,4,0,1048576,samples/zippedMalware/cece4024e0e3764a748b9171c4c1d42c,0
332,sample68,0,0,0,0,0,0,5,2,3,4,0,1048576,samples/zippedMalware/8938dd74df0e610f8897829ca361bed1,0
333,sample69,345888,28,0,0,0,344064,0,7,4,4,877720,1048576,samples/zippedMalware/5740328c-d84b-11e6-b93b-80e65024849a.file,0
334,sample7,0,0,0,0,0,16384,5,7,4,4,0,1048576,samples/zippedMalware/b9d934bf4536375b084ae86cedbfb02b,0
335,sample70,0,0,0,0,0,20480,0,7,4,4,0,1048576,samples/zippedMalware/1279f44a442a1923a71c8954cec6873c,0
336,sample71,0,0,0,0,0,20480,4,7,4,4,0,1048576,samples/zippedMalware/032c71ca7e2f96af1b9732453ed452fd,0
337,sample72,0,0,0,0,0,0,4,4,3,4,0,1048576,samples/zippedMalware/3245cf32daeb11493a3560b01075ff35,0
338,sample74,0,0,0,0,0,20480,5,7,4,4,0,1048576,samples/zippedMalware/5aaa3f6708c1b5d3309073028c32c024,0
339,sample75,0,0,0,0,0,0,0,7,3,4,0,1048576,samples/zippedMalware/7e8f798a34f3df9fc74873a66cf7b973,0
340,sample76,0,0,0,0,0,28672,0,6,4,4,0,1048576,samples/zippedMalware/d827af7f090a488019622c87fcaa3dd3,0
341,sample77,53248,28,320,0,0,49820,0,14,8,6,180948,1048576,samples/zippedMalware/fc99b04f-d262-11e6-96ee-80e65024849a.file,0
342,sample78,0,0,0,0,0,0,4,7,3,4,0,1048576,samples/zippedMalware/61f85589ca09d72f41288785ab277f21,0
343,sample79,0,0,0,0,0,20480,0,4,4,4,0,1048576,samples/zippedMalware/b72396ccb988e711978f3bbfb848fd81,0
344,sample8,0,0,0,0,0,0,5,7,3,4,0,1048576,samples/zippedMalware/5f8034e5cd77a7abaacf3ce950956688,0
345,sample80,0,0,0,0,0,0,5,5,3,4,0,1048576,samples/zippedMalware/567e9bde95fcaa31e8d800afdb12937b,0
346,sample81,0,0,0,0,0,20480,4,0,4,4,0,1048576,samples/zippedMalware/1f243b7142d83791d678cac2fd5aeb83,0
347,sample82,0,0,0,0,0,20480,5,7,4,4,0,1048576,samples/zippedMalware/3615654af025f74140a561583ee9a7b6,0
348,sample83,345888,28,0,0,0,344064,0,7,4,4,877720,1048576,samples/zippedMalware/ff161fcc-cf3a-11e6-9fc8-80e65024849a.file,0
349,sample84,0,0,0,0,0,16384,5,7,4,4,0,1048576,samples/zippedMalware/02279f5c3004e83f1663d6f0e6415a9f,0
350,sample85,0,0,0,0,0,0,5,6,3,4,0,1048576,samples/zippedMalware/350f004e725d708100f30a9af9e69da4,0
351,sample86,0,0,0,0,0,0,0,6,3,4,0,1048576,samples/zippedMalware/7b14560e7ed892efed2e7ec4e9d37ee7,0
352,sample87,0,0,0,0,0,0,4,7,3,4,0,1048576,samples/zippedMalware/cf35b0d5b985fcb6484dddf12f0d9143,0
353,sample88,0,0,0,0,0,0,4,7,3,4,0,1048576,samples/zippedMalware/bd0544f40356de1f3abecdff232ff660,0
354,sample89,345888,28,0,0,0,344064,0,7,4,4,877720,1048576,samples/zippedMalware/eb273d11-db13-11e6-a0d1-80e65024849a.file,0
